Date,Event,Price,Price/Sq_Ft,Source,listing_page
01/27/2023,Listed,"$999,000 ",$272 ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
12/13/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
10/14/2022,Listed,"$1,100,000 ",$300 ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
01/25/2017,Listing removed,"$3,400 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
01/04/2017,Price Changed for rent,"$3,400 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
12/03/2016,Listed for rent,"$3,500 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
12/09/2005,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
01/26/2023,Listed,"$955,000 ",$348 ,Austin,https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
08/28/2015,Listing removed,"$2,749 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
08/15/2015,Listed for rent,"$2,749 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
03/26/2001,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
11/24/1993,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
01/17/2023,Listed,"$569,000 ",$320 ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
09/14/2020,Listing removed,"$2,200 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
10/23/2019,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
10/02/2019,Listed for rent,"$2,200 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
09/16/2019,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
05/16/2016,Listing removed,"$2,100 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
05/10/2016,Listed for rent,"$2,100 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
01/23/2023,Listed,"$1,250,000 ",$398 ,Houston,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
01/13/2023,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
01/05/2023,Listed,"$1,250,000 ",$370 ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
10/27/2020,Listing removed,"$4,500 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
08/27/2020,Listed for rent,"$4,500 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
02/03/2018,Listing removed,"$4,000 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
12/15/2017,Listed for rent,"$4,000 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
01/17/2023,Listed,"$765,000 ",$327 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
11/24/2020,Listing removed,"$2,595 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
01/09/2018,Listing removed,"$2,300 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
12/30/2017,Listed for rent,"$2,300 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
08/15/2015,Listing removed,"$2,495 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
08/04/2015,Listed for rent,"$2,495 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
08/31/2006,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/5220-Scottish-Thistle-Dr_Austin_TX_78739_M75852-15440
01/20/2023,Listed,"$2,350,000 ",$475 ,Austin,https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
12/06/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
10/13/2022,Price Changed,"$2,495,000 ",$505 ,Austin,https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
09/30/2022,Listed,"$2,695,000 ",$545 ,Austin,https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
04/19/2021,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/7909-Orisha-Dr_Austin_TX_78739_M71925-26348
10/19/2022,Price Changed,"$1,090,000 ",$305 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
10/04/2022,Price Changed,"$1,288,888 ",$361 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
09/30/2022,Price Changed,"$1,090,000 ",$305 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
08/26/2022,Price Changed,"$1,248,888 ",$349 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
07/22/2022,Listed,"$1,288,888 ",$361 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
12/18/2014,Listing removed,"$479,999 ",$134 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
10/23/2014,Price Changed,"$479,999 ",$134 ,Austin,https://www.realtor.com/realestateandhomes-detail/6908-Larue-Belle-Cv_Austin_TX_78739_M72638-06132
12/01/2022,Price Changed,"$999,000 ",$310 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
10/23/2022,Price Changed,"$1,019,160 ",$316 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
09/26/2022,Price Changed,"$1,100,000 ",$341 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
09/16/2022,Price Changed,"$1,125,000 ",$349 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
09/02/2022,Price Changed,"$1,150,000 ",$357 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
06/20/2022,Price Changed,"$1,199,000 ",$372 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
06/10/2022,Listed,"$1,250,000 ",$388 ,Austin,https://www.realtor.com/realestateandhomes-detail/6505-Goodall-Ct_Austin_TX_78739_M76869-88729
12/02/2022,Price Changed,"$675,000 ",$246 ,Austin,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
10/12/2022,Price Changed,"$749,000 ",$273 ,Austin,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
10/03/2022,Listed,"$799,000 ",$288 ,Austin,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
09/11/2013,Listing removed,"$379,000 ",$141 ,Austin,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
07/18/2013,Listed,"$379,000 ",$141 ,Austin,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
12/22/2006,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/8008-Levata-Dr_Austin_TX_78739_M89689-20520
01/26/2023,Relisted,"$1,400,927 ",$367 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
12/07/2022,Listing removed,- ,- ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
11/30/2022,Price Changed,"$1,280,927 ",$336 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
11/07/2022,Price Changed,"$1,300,927 ",$341 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
11/02/2022,Price Changed,"$1,350,927 ",$354 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
10/22/2022,Price Changed,"$1,385,927 ",$363 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
10/18/2022,Price Changed,"$1,400,307 ",$367 ,Austin,https://www.realtor.com/realestateandhomes-detail/7128-Vicenza-Dr_Austin_TX_78739_M95775-70211
01/25/2023,Listed,"$859,999 ",$361 ,Austin,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
01/03/2022,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
06/27/2005,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
03/23/2005,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
10/23/2002,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
08/18/1999,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/4809-Scottish-Thistle-Dr_Austin_TX_78739_M81832-11014
01/26/2023,Price Changed,"$745,000 ",$266 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
11/20/2022,Listed,"$755,000 ",$270 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
06/27/2013,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
04/05/2009,Listing removed,"$290,000 ",$104 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
04/05/2009,Listing removed,"$2,000 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
03/19/2009,Listed,"$290,000 ",$104 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
02/13/2009,Listed for rent,"$2,000 ",$1 ,Austin,https://www.realtor.com/realestateandhomes-detail/11108-Bexley-Ln_Austin_TX_78739_M71254-93510
09/27/2022,Listed,"$1,599,000 ",$488 ,Austin,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
12/02/2014,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
11/09/2013,Listing removed,"$495,000 ",$151 ,Austin,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
10/03/2013,Listed,"$495,000 ",$151 ,Austin,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
05/27/2010,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
03/11/2010,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
05/25/2004,Sold,- ,- ,Public Record,https://www.realtor.com/realestateandhomes-detail/7116-Doswell-Ln_Austin_TX_78739_M88137-69470
