Year,Taxes,Land,added_to,Additions,equals,Total_assessments,listing_page
2022,"$15,125",N/A,+,N/A,=,"$631,730",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2021,"$14,066","$100,000",+,"$533,825",=,"$633,825",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2020,"$13,594","$100,000",+,"$533,825",=,"$633,825",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2019,"$13,922","$100,000",+,"$485,218",=,"$585,218",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2018,"$13,154",N/A,+,N/A,=,"$560,105",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2017,"$12,491","$50,000",+,"$459,186",=,"$509,186",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2016,"$11,948",N/A,+,N/A,=,"$473,076",https://www.realtor.com/realestateandhomes-detail/6808-Magenta-Ln_Austin_TX_78739_M75612-44512
2022,"$17,021","$100,000",+,"$401,965",=,"$501,965",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2021,"$11,177","$100,000",+,"$320,428",=,"$420,428",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2020,"$9,017","$100,000",+,"$320,428",=,"$420,428",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2019,"$9,234","$100,000",+,"$313,814",=,"$413,814",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2018,"$9,161","$50,000",+,"$325,984",=,"$375,984",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2017,"$8,384","$50,000",+,"$314,269",=,"$364,269",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2016,"$8,363",N/A,+,N/A,=,"$336,975",https://www.realtor.com/realestateandhomes-detail/10625-Redmond-Rd_Austin_TX_78739_M70687-08804
2022,"$14,153","$100,000",+,"$269,936",=,"$369,936",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2021,"$8,237","$100,000",+,"$233,700",=,"$333,700",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2020,"$7,158","$100,000",+,"$233,767",=,"$333,767",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2019,"$7,331","$100,000",+,"$222,586",=,"$322,586",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2018,"$7,142","$50,000",+,"$244,376",=,"$294,376",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2017,"$6,565","$50,000",+,"$229,475",=,"$279,475",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2016,"$6,416","$50,000",+,"$211,594",=,"$261,594",https://www.realtor.com/realestateandhomes-detail/6105-Back-Bay-Ln_Austin_TX_78739_M84379-97222
2022,"$26,780","$100,000",+,"$601,689",=,"$701,689",https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
2021,"$15,624","$100,000",+,"$539,252",=,"$639,252",https://www.realtor.com/realestateandhomes-detail/12701-Cricoli-Dr_Austin_TX_78739_M74085-28923
